Tatget Distance: 50, Step Size: 2
0: (x,y) = (0, 0)
1: (x,y) = (-0.845237, -1.81262)
2: (x,y) = (-2.79398, -1.36271)
3: (x,y) = (-3.27782, 0.577878)
4: (x,y) = (-5.07541, 1.45462)
5: (x,y) = (-7.05594, 1.73297)
6: (x,y) = (-5.88037, 3.351)
7: (x,y) = (-6.01989, 5.34613)
8: (x,y) = (-6.73662, 7.21329)
9: (x,y) = (-4.75609, 6.93494)
10: (x,y) = (-2.76096, 7.07446)
11: (x,y) = (-2.44809, 9.04983)
12: (x,y) = (-1.96425, 7.10924)
13: (x,y) = (-0.600249, 8.57195)
14: (x,y) = (-0.913118, 10.5473)
15: (x,y) = (-1.08743, 12.5397)
16: (x,y) = (0.803607, 13.1909)
17: (x,y) = (1.38835, 15.1035)
18: (x,y) = (-0.552241, 14.6196)
19: (x,y) = (-1.26898, 12.7525)
20: (x,y) = (0.687319, 13.1683)
21: (x,y) = (-0.751361, 14.5576)
22: (x,y) = (-0.542304, 12.5686)
23: (x,y) = (-1.45029, 14.3506)
24: (x,y) = (-3.32967, 15.0346)
25: (x,y) = (-5.29292, 15.4162)
26: (x,y) = (-3.85425, 14.0269)
27: (x,y) = (-5.43027, 15.2582)
28: (x,y) = (-7.10761, 16.3475)
29: (x,y) = (-6.07753, 14.6332)
30: (x,y) = (-4.98825, 12.9558)
31: (x,y) = (-3.12109, 12.2391)
32: (x,y) = (-4.85314, 11.2391)
33: (x,y) = (-4.40324, 13.1878)
34: (x,y) = (-2.42786, 13.5007)
35: (x,y) = (-0.630277, 12.624)
36: (x,y) = (0.308667, 10.8581)
37: (x,y) = (1.79496, 12.1963)
38: (x,y) = (0.886975, 10.4143)
39: (x,y) = (1.70045, 12.2414)
40: (x,y) = (1.80512, 10.2441)
41: (x,y) = (3.8039, 10.3139)
42: (x,y) = (2.95867, 12.1266)
43: (x,y) = (0.963537, 11.987)
44: (x,y) = (1.51481, 10.0645)
45: (x,y) = (3.11208, 8.8609)
46: (x,y) = (5.10721, 8.72138)
47: (x,y) = (4.58957, 10.6532)
48: (x,y) = (3.61995, 12.4025)
49: (x,y) = (5.48711, 13.1192)
50: (x,y) = (7.48224, 13.2587)
51: (x,y) = (9.46278, 12.9804)
52: (x,y) = (10.6099, 14.6187)
53: (x,y) = (10.0252, 16.5313)
54: (x,y) = (8.58651, 17.9206)
55: (x,y) = (9.27055, 16.0412)
56: (x,y) = (7.63225, 14.8941)
57: (x,y) = (6.51386, 13.236)
58: (x,y) = (6.65337, 15.2311)
59: (x,y) = (4.92132, 14.2311)
60: (x,y) = (5.40517, 12.2905)
61: (x,y) = (3.45643, 11.8406)
62: (x,y) = (3.59594, 13.8358)
63: (x,y) = (3.45643, 11.8406)
64: (x,y) = (5.41272, 12.2565)
65: (x,y) = (3.61513, 13.1332)
66: (x,y) = (5.61483, 13.0983)
67: (x,y) = (5.09719, 15.0301)
68: (x,y) = (4.61335, 13.0895)
69: (x,y) = (2.67275, 13.5734)
70: (x,y) = (0.683711, 13.7825)
71: (x,y) = (0.509399, 11.7901)
72: (x,y) = (-1.33161, 11.0086)
73: (x,y) = (0.434285, 11.9475)
74: (x,y) = (2.14862, 12.9776)
75: (x,y) = (2.66626, 11.0458)
76: (x,y) = (4.08047, 9.63155)
77: (x,y) = (2.59418, 8.29329)
78: (x,y) = (3.8255, 6.71727)
79: (x,y) = (5.80088, 7.03014)
80: (x,y) = (4.24659, 8.28878)
81: (x,y) = (6.22712, 8.56713)
82: (x,y) = (8.11816, 7.91599)
83: (x,y) = (6.15491, 7.53437)
84: (x,y) = (6.43325, 9.51491)
85: (x,y) = (7.79725, 10.9776)
86: (x,y) = (8.88653, 12.655)
87: (x,y) = (7.33224, 13.9136)
88: (x,y) = (9.02833, 12.8538)
89: (x,y) = (7.03107, 12.7491)
90: (x,y) = (8.96293, 12.2314)
91: (x,y) = (8.14945, 14.0585)
92: (x,y) = (6.71077, 15.4479)
93: (x,y) = (6.19313, 13.516)
94: (x,y) = (7.42446, 15.092)
95: (x,y) = (6.45484, 13.3428)
96: (x,y) = (4.46245, 13.1685)
97: (x,y) = (2.82414, 12.0213)
98: (x,y) = (1.29206, 10.7357)
99: (x,y) = (2.07352, 8.89474)
100: (x,y) = (4.07078, 8.79007)
101: (x,y) = (2.33873, 9.79007)
102: (x,y) = (0.341467, 9.89474)
103: (x,y) = (-1.63907, 9.61639)
104: (x,y) = (-0.608993, 7.90206)
105: (x,y) = (0.298988, 9.68407)
106: (x,y) = (-1.59205, 10.3352)
107: (x,y) = (0.407647, 10.3701)
108: (x,y) = (0.789265, 8.40686)
109: (x,y) = (-0.849039, 9.55401)
110: (x,y) = (1.12058, 9.20671)
111: (x,y) = (2.63, 10.5188)
112: (x,y) = (0.689404, 10.035)
113: (x,y) = (2.19882, 11.3471)
114: (x,y) = (0.218287, 11.6255)
115: (x,y) = (-1.09383, 10.116)
116: (x,y) = (0.672064, 9.17709)
117: (x,y) = (-1.07718, 10.1467)
118: (x,y) = (-0.393135, 8.26732)
119: (x,y) = (-0.843037, 6.31858)
120: (x,y) = (0.0959058, 4.55269)
121: (x,y) = (-1.07966, 6.17072)
122: (x,y) = (0.669575, 5.2011)
123: (x,y) = (2.66196, 5.02679)
124: (x,y) = (4.14825, 6.36505)
125: (x,y) = (2.68555, 5.00106)
126: (x,y) = (1.15346, 3.71548)
127: (x,y) = (-0.787134, 3.23164)
128: (x,y) = (-1.5686, 1.39063)
129: (x,y) = (-1.35954, 3.37967)
130: (x,y) = (0.0044574, 1.91696)
131: (x,y) = (-1.67288, 3.00624)
132: (x,y) = (-3.67167, 2.93644)
133: (x,y) = (-1.70841, 3.31806)
134: (x,y) = (-3.70719, 3.24826)
135: (x,y) = (-5.19348, 1.91)
136: (x,y) = (-7.07287, 1.22596)
137: (x,y) = (-9.05796, 0.982221)
138: (x,y) = (-7.77238, -0.549868)
139: (x,y) = (-7.02317, 1.3045)
140: (x,y) = (-5.12106, 0.686466)
141: (x,y) = (-3.37182, -0.283153)
142: (x,y) = (-3.68469, -2.25853)
143: (x,y) = (-1.91879, -1.31959)
144: (x,y) = (-0.280489, -0.172434)
145: (x,y) = (-1.7432, 1.19156)
146: (x,y) = (-1.56888, -0.800827)
147: (x,y) = (-0.0145927, -2.05947)
148: (x,y) = (-1.98421, -2.40676)
149: (x,y) = (-0.408187, -1.17544)
150: (x,y) = (-1.52657, 0.482634)
151: (x,y) = (0.150769, 1.57191)
152: (x,y) = (1.88282, 0.571912)
153: (x,y) = (3.73719, -0.177301)
154: (x,y) = (5.50308, 0.761642)
155: (x,y) = (6.15422, 2.65268)
156: (x,y) = (5.21528, 0.886784)
157: (x,y) = (6.27511, -0.809312)
158: (x,y) = (4.28607, -0.600255)
159: (x,y) = (5.31615, 1.11408)
160: (x,y) = (4.59941, 2.98124)
161: (x,y) = (2.60428, 3.12075)
162: (x,y) = (3.9936, 4.55943)
163: (x,y) = (2.90432, 2.88209)
164: (x,y) = (1.3949, 1.56997)
165: (x,y) = (0.00558521, 0.131294)
166: (x,y) = (0.145098, -1.86383)
167: (x,y) = (-0.23652, -3.82709)
168: (x,y) = (1.76226, -3.89689)
169: (x,y) = (3.76196, -3.86198)
170: (x,y) = (5.58905, -3.04851)
171: (x,y) = (4.4419, -4.68681)
172: (x,y) = (3.21057, -3.11079)
173: (x,y) = (5.19566, -2.86705)
174: (x,y) = (7.19445, -2.79725)
175: (x,y) = (8.37002, -4.41529)
176: (x,y) = (9.08675, -2.54813)
177: (x,y) = (11.0564, -2.20083)
178: (x,y) = (9.37903, -1.11155)
179: (x,y) = (10.4974, -2.76963)
180: (x,y) = (9.71595, -4.61064)
181: (x,y) = (7.91836, -3.7339)
182: (x,y) = (7.95327, -5.73359)
183: (x,y) = (5.96422, -5.94265)
184: (x,y) = (6.13853, -3.95026)
185: (x,y) = (5.4218, -2.0831)
186: (x,y) = (4.80377, -0.180984)
187: (x,y) = (3.71449, 1.49636)
188: (x,y) = (1.71723, 1.39168)
189: (x,y) = (0.778285, -0.37421)
190: (x,y) = (1.26213, 1.56638)
191: (x,y) = (-0.732999, 1.42687)
192: (x,y) = (-1.57824, 3.23948)
193: (x,y) = (-1.3345, 5.22458)
194: (x,y) = (-3.16159, 6.03805)
195: (x,y) = (-5.01596, 6.78726)
196: (x,y) = (-6.63399, 7.96283)
197: (x,y) = (-8.55651, 7.41156)
198: (x,y) = (-7.97177, 9.32417)
